GPA,calories_day,comfort_food_reasons_coded,cook,cuisine,diet_current_coded,eating_changes_coded,eating_changes_coded1,eating_out,employment,exercise,fruit_day,healthy_feeling,income,marital_status,nutritional_check,self_perception_weight,sports,vitamins,weight
2.4,3.0,9.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,2.0,5.0,1.0,5.0,3.0,1.0,1.0,185.0
3.7,3.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,5.0,4.0,2.0,4.0,3.0,1.0,2.0,155.0
3.4,3.0,3.0,3.0,1.0,2.0,2.0,5.0,3.0,2.0,2.0,4.0,5.0,5.0,1.0,3.0,3.0,1.0,2.0,160.0
3.2,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,7.0,6.0,2.0,2.0,5.0,2.0,1.0,145.0
3.5,2.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,4.0,6.0,6.0,1.0,3.0,4.0,1.0,2.0,190.0
2.2,3.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,5.0,2.0,2.0,190.0
3.8,3.0,1.0,2.0,1.0,3.0,2.0,5.0,2.0,3.0,1.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,180.0
3.3,3.0,1.0,3.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,5.0,3.0,5.0,1.0,4.0,3.0,2.0,2.0,135.0
3.3,3.0,2.0,3.0,1.0,1.0,2.0,8.0,5.0,2.0,2.0,4.0,7.0,5.0,2.0,2.0,4.0,2.0,2.0,180.0
3.3,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,5.0,3.0,4.0,2.0,5.0,3.0,1.0,1.0,125.0
3.5,3.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,5.0,9.0,3.0,1.0,2.0,1.0,1.0,2.0,115.0
3.9,4.0,3.0,3.0,1.0,1.0,4.0,5.0,1.0,2.0,1.0,5.0,1.0,5.0,2.0,5.0,2.0,1.0,1.0,110.0
3.4,3.0,3.0,5.0,1.0,1.0,2.0,5.0,1.0,3.0,3.0,4.0,9.0,5.0,2.0,2.0,5.0,1.0,2.0,265.0
3.6,3.0,1.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,2.0,5.0,8.0,5.0,2.0,2.0,3.0,1.0,2.0,125.0
3.1,3.0,2.0,3.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,5.0,2.0,5.0,1.0,2.0,3.0,1.0,1.0,185.0
3.2,3.0,2.0,4.0,1.0,2.0,3.0,4.0,4.0,3.0,1.0,3.0,6.0,4.0,2.0,1.0,2.0,1.0,2.0,180.0
4.0,3.0,1.0,3.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,5.0,7.0,1.0,2.0,4.0,3.0,2.0,1.0,145.0
3.6,3.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,8.0,6.0,2.0,4.0,2.0,1.0,2.0,170.0
3.4,3.0,3.0,3.0,1.0,1.0,4.0,6.0,3.0,2.0,3.0,5.0,6.0,5.0,2.0,2.0,3.0,2.0,1.0,135.0
2.2,2.0,2.0,4.0,1.0,2.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,5.0,1.0,1.0,4.0,2.0,2.0,165.0
3.3,3.0,7.0,5.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,2.0,5.0,6.0,1.0,2.0,6.0,1.0,2.0,175.0
3.9,3.0,2.0,3.0,3.0,2.0,1.0,8.0,1.0,2.0,1.0,3.0,8.0,6.0,2.0,4.0,2.0,1.0,2.0,195.0
3.7,3.0,3.0,5.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,6.0,1.0,3.0,2.0,1.0,1.0,185.0
3.7,3.0,1.0,4.0,1.0,1.0,1.0,7.0,2.0,2.0,3.0,3.0,4.0,4.0,1.0,2.0,3.0,1.0,1.0,185.0
3.9,2.0,6.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,4.0,5.0,4.0,2.0,2.0,4.0,2.0,2.0,105.0
2.8,3.0,2.0,3.0,1.0,1.0,3.0,4.0,2.0,3.0,1.0,4.0,8.0,6.0,1.0,4.0,3.0,1.0,2.0,125.0
3.7,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,9.0,5.0,2.0,2.0,2.0,1.0,2.0,160.0
3.0,4.0,2.0,4.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,5.0,9.0,6.0,2.0,4.0,2.0,1.0,1.0,175.0
3.2,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,1.0,5.0,3.0,2.0,1.0,180.0
3.5,2.0,2.0,3.0,1.0,2.0,1.0,3.0,5.0,3.0,2.0,5.0,9.0,5.0,1.0,2.0,2.0,2.0,1.0,165.0
4.0,3.0,1.0,3.0,1.0,1.0,1.0,7.0,3.0,2.0,2.0,3.0,7.0,5.0,2.0,4.0,3.0,1.0,1.0,115.0
4.0,3.0,1.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,2.0,5.0,5.0,4.0,1.0,4.0,4.0,2.0,1.0,205.0
3.4,3.0,4.0,5.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,4.0,5.0,5.0,1.0,4.0,4.0,1.0,1.0,145.0
2.8,3.0,2.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,7.0,3.0,1.0,4.0,3.0,2.0,1.0,130.0
3.6,3.0,2.0,4.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,5.0,1.0,6.0,1.0,4.0,2.0,1.0,1.0,150.0
3.0,2.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,5.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,150.0
3.7,3.0,2.0,3.0,1.0,2.0,1.0,8.0,4.0,2.0,1.0,5.0,7.0,6.0,1.0,3.0,4.0,1.0,2.0,150.0
3.4,4.0,1.0,2.0,6.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,4.0,6.0,2.0,4.0,4.0,1.0,2.0,170.0
3.9,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,6.0,5.0,2.0,4.0,4.0,1.0,2.0,150.0
3.0,3.0,9.0,5.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,5.0,3.0,6.0,2.0,1.0,1.0,1.0,2.0,175.0
3.4,3.0,3.0,3.0,1.0,3.0,1.0,9.0,2.0,3.0,1.0,3.0,10.0,6.0,1.0,3.0,2.0,1.0,2.0,140.0
2.9,4.0,5.0,2.0,1.0,4.0,1.0,3.0,4.0,2.0,1.0,5.0,6.0,3.0,1.0,4.0,6.0,2.0,1.0,120.0
3.6,3.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,5.0,6.0,6.0,1.0,1.0,3.0,2.0,2.0,135.0
3.5,2.0,3.0,3.0,1.0,2.0,2.0,5.0,1.0,3.0,2.0,4.0,6.0,3.0,2.0,3.0,4.0,2.0,1.0,100.0
3.2,4.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,5.0,8.0,5.0,1.0,4.0,3.0,1.0,1.0,170.0
3.6,3.0,4.0,3.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,5.0,3.0,6.0,2.0,2.0,1.0,2.0,2.0,115.0
3.8,2.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,3.0,3.0,1.0,2.0,170.0
2.8,3.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,5.0,8.0,6.0,1.0,2.0,2.0,1.0,2.0,145.0
3.5,3.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,5.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,155.0
3.8,3.0,5.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,9.0,3.0,2.0,2.0,1.0,2.0,2.0,150.0
3.6,3.0,1.0,5.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,4.0,8.0,1.0,1.0,5.0,3.0,2.0,2.0,170.0
3.3,4.0,5.0,3.0,1.0,4.0,1.0,3.0,3.0,3.0,1.0,5.0,8.0,6.0,1.0,5.0,2.0,1.0,1.0,185.0
3.3,4.0,2.0,1.0,1.0,3.0,1.0,3.0,5.0,3.0,1.0,5.0,1.0,5.0,1.0,5.0,2.0,1.0,2.0,200.0
3.3,3.0,2.0,4.0,1.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,5.0,3.0,1.0,1.0,4.0,2.0,1.0,265.0
3.5,3.0,1.0,1.0,2.0,1.0,2.0,5.0,3.0,3.0,1.0,5.0,10.0,6.0,1.0,4.0,2.0,1.0,1.0,165.0
3.4,2.0,2.0,3.0,3.0,2.0,4.0,10.0,5.0,3.0,1.0,4.0,8.0,3.0,1.0,3.0,3.0,1.0,2.0,190.0
3.8,4.0,2.0,3.0,1.0,1.0,2.0,5.0,4.0,3.0,1.0,5.0,1.0,6.0,1.0,4.0,2.0,1.0,1.0,175.0
2.8,4.0,9.0,2.0,1.0,1.0,2.0,5.0,3.0,2.0,1.0,4.0,9.0,5.0,1.0,5.0,2.0,1.0,1.0,140.0
3.5,3.0,1.0,1.0,2.0,3.0,1.0,11.0,2.0,2.0,2.0,5.0,4.0,5.0,1.0,2.0,3.0,1.0,1.0,155.0
3.7,3.0,2.0,2.0,1.0,3.0,1.0,11.0,2.0,3.0,2.0,5.0,7.0,6.0,1.0,2.0,3.0,1.0,2.0,155.0
3.6,4.0,3.0,2.0,1.0,1.0,3.0,4.0,5.0,3.0,1.0,5.0,3.0,6.0,1.0,4.0,2.0,1.0,1.0,135.0
3.4,3.0,3.0,3.0,1.0,2.0,2.0,5.0,3.0,2.0,2.0,4.0,5.0,5.0,1.0,3.0,3.0,1.0,2.0,160.0
3.9,4.0,2.0,3.0,1.0,1.0,2.0,5.0,5.0,2.0,1.0,4.0,2.0,6.0,1.0,4.0,2.0,1.0,1.0,210.0
2.6,4.0,3.0,3.0,2.0,1.0,3.0,4.0,4.0,3.0,1.0,5.0,8.0,5.0,2.0,4.0,2.0,1.0,2.0,180.0
3.5,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,5.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,140.0
3.2,3.0,2.0,2.0,2.0,2.0,1.0,11.0,3.0,3.0,2.0,3.0,3.0,6.0,2.0,1.0,2.0,2.0,2.0,110.0
3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,5.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0,125.0
3.6,2.0,2.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,5.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,145.0
3.2,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,5.0,8.0,6.0,2.0,3.0,3.0,1.0,2.0,145.0
3.7,4.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,6.0,2.0,4.0,3.0,2.0,1.0,130.0
3.7,3.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,5.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,140.0
4.0,3.0,2.0,2.0,1.0,1.0,1.0,11.0,1.0,2.0,1.0,5.0,5.0,5.0,2.0,4.0,4.0,1.0,1.0,140.0
3.1,3.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,5.0,3.0,5.0,1.0,2.0,3.0,2.0,1.0,140.0
3.8,4.0,2.0,1.0,1.0,2.0,2.0,12.0,4.0,3.0,1.0,3.0,1.0,6.0,2.0,5.0,3.0,1.0,1.0,200.0
2.7,2.0,9.0,2.0,4.0,4.0,3.0,4.0,1.0,3.0,2.0,4.0,8.0,3.0,4.0,2.0,3.0,2.0,2.0,155.0
3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,5.0,6.0,5.0,2.0,4.0,3.0,2.0,1.0,120.0
3.7,3.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,3.0,4.0,1.0,2.0,150.0
3.1,2.0,2.0,2.0,1.0,2.0,2.0,13.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,1.0,2.0,200.0
3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,5.0,8.0,5.0,2.0,4.0,3.0,1.0,1.0,135.0
3.9,3.0,2.0,5.0,1.0,2.0,1.0,7.0,1.0,3.0,1.0,5.0,1.0,6.0,1.0,4.0,2.0,1.0,2.0,145.0
3.4,2.0,7.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,1.0,2.0,3.0,2.0,1.0,130.0
3.5,3.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,4.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,190.0
3.7,3.0,2.0,3.0,1.0,4.0,1.0,3.0,5.0,3.0,1.0,3.0,8.0,3.0,1.0,3.0,3.0,1.0,2.0,170.0
3.7,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,2.0,3.0,3.0,1.0,2.0,125.0
3.8,3.0,3.0,1.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,5.0,9.0,5.0,2.0,5.0,2.0,1.0,1.0,165.0
2.6,3.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,5.0,7.0,6.0,2.0,3.0,3.0,2.0,1.0,140.0
3.0,3.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,3.0,2.0,5.0,3.0,6.0,1.0,5.0,4.0,1.0,1.0,190.0
3.2,3.0,3.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,4.0,5.0,6.0,1.0,2.0,4.0,1.0,1.0,155.0
3.5,4.0,9.0,3.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,4.0,7.0,2.0,1.0,5.0,2.0,2.0,1.0,175.0
3.2,3.0,1.0,3.0,1.0,2.0,2.0,5.0,2.0,2.0,1.0,5.0,7.0,3.0,1.0,5.0,3.0,2.0,1.0,130.0
3.7,4.0,2.0,4.0,2.0,1.0,2.0,5.0,2.0,3.0,1.0,5.0,7.0,6.0,1.0,2.0,4.0,1.0,1.0,260.0
3.8,2.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,5.0,6.0,2.0,3.0,3.0,2.0,2.0,135.0
3.3,3.0,1.0,2.0,1.0,2.0,2.0,5.0,5.0,2.0,3.0,1.0,8.0,3.0,2.0,2.0,4.0,1.0,2.0,190.0
3.2,3.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,6.0,4.0,1.0,1.0,3.0,2.0,2.0,165.0
3.8,3.0,5.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,5.0,7.0,6.0,2.0,4.0,3.0,1.0,1.0,175.0
3.5,3.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,4.0,10.0,5.0,2.0,3.0,2.0,1.0,2.0,185.0
3.9,3.0,7.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,6.0,1.0,2.0,6.0,2.0,1.0,210.0
3.9,3.0,2.0,3.0,1.0,1.0,2.0,5.0,2.0,2.0,1.0,5.0,1.0,5.0,1.0,4.0,3.0,1.0,2.0,155.0
3.9,3.0,3.0,4.0,6.0,2.0,2.0,5.0,5.0,3.0,2.0,5.0,8.0,6.0,2.0,3.0,4.0,1.0,1.0,185.0
3.2,4.0,3.0,4.0,2.0,2.0,2.0,5.0,3.0,2.0,2.0,5.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,165.0
3.5,3.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,125.0
3.4,3.0,2.0,3.0,1.0,2.0,1.0,11.0,2.0,2.0,3.0,5.0,3.0,5.0,1.0,4.0,5.0,2.0,2.0,160.0
3.3,4.0,3.0,2.0,1.0,1.0,2.0,5.0,3.0,3.0,1.0,5.0,7.0,5.0,1.0,5.0,4.0,2.0,1.0,135.0
3.7,3.0,8.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,5.0,4.0,4.0,1.0,4.0,6.0,2.0,1.0,130.0
3.4,3.0,3.0,3.0,1.0,2.0,2.0,5.0,3.0,2.0,2.0,4.0,5.0,5.0,1.0,3.0,3.0,1.0,2.0,160.0
3.0,3.0,2.0,3.0,1.0,2.0,1.0,10.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,2.0,125.0
3.0,3.0,2.0,2.0,1.0,1.0,2.0,12.0,5.0,2.0,2.0,5.0,7.0,1.0,1.0,4.0,4.0,2.0,2.0,130.0
3.8,3.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,5.0,4.0,1.0,2.0,4.0,2.0,2.0,165.0
3.8,2.0,3.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,5.0,6.0,6.0,2.0,4.0,3.0,1.0,2.0,130.0
3.4,3.0,4.0,2.0,1.0,2.0,2.0,5.0,3.0,2.0,3.0,4.0,5.0,6.0,1.0,4.0,5.0,2.0,1.0,200.0
3.7,3.0,4.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,3.0,8.0,3.0,2.0,3.0,3.0,1.0,2.0,160.0
2.9,2.0,3.0,2.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,3.0,9.0,5.0,1.0,4.0,3.0,2.0,2.0,170.0
3.9,4.0,2.0,1.0,1.0,1.0,2.0,5.0,4.0,3.0,1.0,5.0,10.0,6.0,2.0,4.0,3.0,2.0,2.0,130.0
3.6,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,9.0,6.0,2.0,4.0,4.0,2.0,2.0,170.0
2.8,3.0,5.0,3.0,4.0,2.0,1.0,10.0,3.0,3.0,2.0,4.0,7.0,3.0,2.0,3.0,1.0,1.0,2.0,140.0
3.3,4.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,5.0,10.0,6.0,2.0,1.0,2.0,1.0,2.0,150.0
3.4,3.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,5.0,5.0,1.0,1.0,2.0,4.0,2.0,1.0,170.0
3.8,3.0,4.0,3.0,4.0,1.0,2.0,5.0,2.0,2.0,2.0,3.0,9.0,2.0,1.0,2.0,4.0,2.0,1.0,115.0
3.6,3.0,2.0,3.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,5.0,3.0,2.0,2.0,4.0,2.0,2.0,140.0
3.2,3.0,4.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,5.0,7.0,2.0,2.0,2.0,4.0,1.0,2.0,185.0
3.5,4.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,5.0,5.0,4.0,1.0,5.0,4.0,1.0,1.0,155.0
3.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,4.0,5.0,2.0,1.0,3.0,4.0,1.0,2.0,180.0
3.9,3.0,5.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,6.0,2.0,1.0,3.0,4.0,2.0,2.0,120.0
3.0,4.0,2.0,3.0,1.0,1.0,1.0,8.0,5.0,2.0,1.0,5.0,1.0,4.0,1.0,4.0,2.0,2.0,1.0,135.0
3.9,3.0,3.0,3.0,3.0,1.0,2.0,5.0,1.0,2.0,2.0,3.0,3.0,5.0,2.0,5.0,3.0,2.0,2.0,135.0
